,11-Aug-2025
The Nifty witnessed an intraday movement of about 253.4 points.The closing index was 0.91 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 81193.79
, Traded Quantity (in Lakhs), 26128.35
, Number of Trades, 31323937
, Total Market Capitalisation (Rs. Crores), 44092095.02

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24363.30,     24371.50,     24600.85,     24347.45,     24585.05,221.75
,NIFTY50 EQL Wgt,     30613.45,     30637.95,     30931.60,     30592.50,     30906.85,293.4
,NIFTY100 EQL Wgt,     31741.10,     31770.80,     32104.15,     31695.20,     32084.45,343.35
,NIFTY100 LowVol30,     19660.80,     19667.90,     19830.15,     19601.75,     19808.40,147.6
,NIFTY Alpha 50,     49661.70,     49523.70,     49950.85,     49087.60,     49891.35,229.65
,NIFTY MIDCAP 150,     20848.25,     20840.45,     21015.35,     20768.25,     20983.80,135.55
,NIFTY SMLCAP 50,      8416.20,      8411.35,      8471.00,      8363.30,      8457.40,41.2
,NIFTY SMLCAP 250,     16541.90,     16535.25,     16639.90,     16443.75,     16617.00,75.1
,NIFTY MIDSML 400,     19305.75,     19298.30,     19440.90,     19219.10,     19417.90,112.15
,NIFTY200 QUALTY30,     20075.65,     20068.30,     20151.65,     19959.45,     20126.45,50.8
,Nifty FinSrv25 50,     28106.45,     28105.00,     28385.40,     28080.85,     28361.60,255.15
,NIFTY AlphaLowVol,     25823.80,     25850.15,     26053.05,     25777.80,     26030.95,207.15
,Nifty200Momentm30,     29703.30,     29695.10,     30010.25,     29655.15,     29975.50,272.2
,Nifty100ESGSecLdr,      4076.45,      4076.95,      4116.45,      4070.55,      4113.25,36.8
,NIFTY100 ESG,      4794.50,      4795.80,      4844.50,      4787.50,      4841.05,46.55
,NIFTY M150 QLTY50,     23691.20,     23683.15,     23821.40,     23561.15,     23785.10,93.9
,NIFTY INDIA MFG,     13947.25,     13948.85,     14073.40,     13904.60,     14043.50,96.25
,Nifty200 Alpha 30,     24195.05,     24176.35,     24586.95,     24129.30,     24563.15,368.1
,NiftyM150Momntm50,     59780.00,     59758.95,     60467.05,     59631.35,     60333.95,553.95
,Nifty IT,     34398.50,     34367.25,     34624.40,     34228.00,     34544.65,146.15
,Nifty Next 50,     65514.70,     65571.95,     66336.35,     65378.60,     66283.95,769.25
,Nifty Bank,     55004.90,     54999.35,     55582.15,     54927.55,     55510.75,505.85
,NIFTY MIDCAP 100,     56002.20,     55981.30,     56562.70,     55792.85,     56479.00,476.8
,Nifty 500,     22443.15,     22447.55,     22650.10,     22406.00,     22633.45,190.3
,Nifty 100,     24934.05,     24944.75,     25187.95,     24916.60,     25172.20,238.15
,Nifty Midcap 50,     15785.60,     15775.10,     15945.25,     15717.05,     15922.25,136.65
,Nifty Realty,       874.15,       875.25,       892.00,       871.50,       890.40,16.25
,Nifty Infra,      8879.10,      8894.75,      8983.20,      8879.25,      8977.30,98.2
,Nifty Energy,     34391.95,     34426.20,     34640.20,     34329.85,     34610.35,218.4
,Nifty FMCG,     54900.95,     54855.30,     55352.60,     54630.90,     55309.90,408.95
,Nifty MNC,     28134.05,     28125.70,     28311.60,     27976.15,     28288.20,154.15
,Nifty Pharma,     21402.15,     21391.75,     21783.60,     21324.05,     21604.65,202.5
,Nifty PSE,      9529.40,      9546.40,      9594.35,      9513.10,      9574.60,45.2
,Nifty PSU Bank,      6881.25,      6893.50,      7042.90,      6893.50,      7032.70,151.45
,Nifty Serv Sector,     32033.20,     32024.20,     32309.35,     31993.45,     32289.10,255.9
,India VIX,12.0325,12.0325,12.7300,12.0325,12.2175,0.1850
,Nifty Auto,     23474.65,     23526.60,     23792.75,     23440.20,     23723.75,249.1
,Nifty Metal,      9147.10,      9153.35,      9227.20,      9134.45,      9194.80,47.7
,Nifty Media,      1635.10,      1636.60,      1645.90,      1625.90,      1637.70,2.6
,NIFTY SMLCAP 100,     17428.20,     17424.15,     17517.75,     17331.55,     17491.70,63.5
,Nifty 200,     13555.15,     13559.10,     13691.75,     13540.95,     13682.25,127.1
,Nifty Div Opps 50,      5806.85,      5809.80,      5850.30,      5804.75,      5846.70,39.85
,Nifty Commodities,      8638.90,      8654.25,      8721.20,      8639.85,      8713.50,74.6
,Nifty Consumption,     11647.10,     11646.65,     11766.40,     11619.70,     11756.65,109.55
,Nifty Fin Service,     26167.35,     26165.55,     26426.40,     26138.00,     26405.80,238.45
,Nifty50 Div Point,       174.84,       175.20,       175.20,       175.20,       175.20,.36
,Nifty100 Liq 15,      6772.25,      6786.15,      6861.85,      6773.45,      6854.30,82.05
,Nifty CPSE,      6317.20,      6314.95,      6348.10,      6297.65,      6333.75,16.55
,Nifty GrowSect 15,     11148.70,     11144.80,     11278.30,     11104.20,     11250.30,101.6
,Nifty50 PR 2x Lev,     13086.25,     13089.10,     13335.40,     13065.15,     13318.50,232.25
,Nifty50 PR 1x Inv,       210.50,       210.55,       210.75,       208.55,       208.70,-1.8
,Nifty50 TR 2x Lev,     19466.65,     19471.50,     19837.85,     19435.85,     19812.75,346.1
,Nifty50 TR 1x Inv,       172.75,       172.80,       172.95,       171.15,       171.25,-1.5
,Nifty50 Value 20,     12307.45,     12304.55,     12404.60,     12296.90,     12389.15,81.7
