,09-Sep-2025
The Nifty witnessed an intraday movement of about 77.8 points.The closing index was 0.39 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 79908.68
, Traded Quantity (in Lakhs), 35396.66
, Number of Trades, 28540150
, Total Market Capitalisation (Rs. Crores), 45064781.53

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24773.15,     24864.10,     24891.80,     24814.00,     24868.60,95.45
,NIFTY50 EQL Wgt,     31736.00,     31814.55,     31890.40,     31775.00,     31862.10,126.1
,NIFTY100 EQL Wgt,     32794.30,     32874.15,     32922.25,     32784.55,     32889.35,95.05
,NIFTY100 LowVol30,     20463.45,     20528.50,     20605.80,     20508.65,     20592.20,128.75
,NIFTY Alpha 50,     50403.20,     50545.00,     50688.70,     50245.25,     50634.70,231.5
,NIFTY MIDCAP 150,     21254.10,     21299.20,     21320.30,     21213.70,     21295.90,41.8
,NIFTY SMLCAP 50,      8500.95,      8527.30,      8538.40,      8477.90,      8527.80,26.85
,NIFTY SMLCAP 250,     16935.15,     16980.60,     16999.15,     16896.30,     16979.75,44.6
,NIFTY MIDSML 400,     19710.85,     19756.55,     19774.05,     19677.35,     19754.25,43.4
,NIFTY200 QUALTY30,     20701.25,     20779.85,     20842.40,     20729.90,     20822.50,121.25
,Nifty FinSrv25 50,     27925.50,     27995.80,     28011.60,     27897.40,     27961.70,36.2
,NIFTY AlphaLowVol,     26365.20,     26433.95,     26557.25,     26427.15,     26534.70,169.5
,Nifty200Momentm30,     30207.90,     30270.50,     30318.70,     30169.60,     30290.85,82.95
,Nifty100ESGSecLdr,      4180.50,      4196.10,      4203.20,      4188.30,      4200.10,19.6
,NIFTY100 ESG,      4924.65,      4944.85,      4956.60,      4936.80,      4952.90,28.25
,NIFTY M150 QLTY50,     24114.15,     24152.70,     24202.45,     24084.30,     24149.15,35
,NIFTY INDIA MFG,     14836.65,     14853.60,     14874.55,     14808.70,     14854.90,18.25
,Nifty200 Alpha 30,     24846.50,     24904.95,     24930.40,     24787.15,     24907.10,60.6
