,23-Jan-2026
The Nifty witnessed an intraday movement of about 322.65 points.The closing index was 0.95 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 119314.12
, Traded Quantity (in Lakhs), 56094.84
, Number of Trades, 36037938
, Total Market Capitalisation (Rs. Crores), 44927292.05

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     25289.90,     25344.60,     25347.95,     25025.30,     25048.65,-241.25
,NIFTY50 EQL Wgt,     32670.75,     32766.45,     32766.45,     32214.85,     32246.40,-424.35
,NIFTY100 EQL Wgt,     33118.15,     33227.65,     33227.65,     32488.90,     32539.35,-578.80
,NIFTY100 LowVol30,     20594.80,     20645.60,     20656.50,     20438.60,     20454.90,-139.90
,NIFTY Alpha 50,     48455.85,     48685.25,     48709.80,     47538.65,     47629.40,-826.45
,NIFTY MIDCAP 150,     21376.00,     21451.75,     21453.75,     20976.00,     21008.55,-367.45
,NIFTY SMLCAP 50,      8140.65,      8189.10,      8193.15,      7971.35,      7984.55,-156.10
,NIFTY SMLCAP 250,     15618.80,     15681.50,     15683.60,     15288.80,     15314.60,-304.20
,NIFTY MIDSML 400,     19237.40,     19308.65,     19310.65,     18862.00,     18891.85,-345.55
,NIFTY200 QUALTY30,     21057.15,     21163.40,     21163.60,     20882.05,     20906.95,-150.20
,Nifty FinSrv25 50,     29620.60,     29653.50,     29691.30,     29242.85,     29285.90,-334.70
,NIFTY AlphaLowVol,     26544.70,     26584.75,     26589.95,     26255.95,     26283.25,-261.45
,Nifty200Momentm30,     30643.55,     30768.90,     30812.70,     30148.00,     30190.10,-453.45
,Nifty100ESGSecLdr,      4231.05,      4239.70,      4240.75,      4179.20,      4183.40,-47.65
,NIFTY100 ESG,      5086.00,      5100.10,      5100.10,      5008.60,      5014.70,-71.30
,NIFTY M150 QLTY50,     23156.65,     23239.80,     23249.90,     22791.40,     22819.15,-337.50
,NIFTY INDIA MFG,     14937.45,     15002.00,     15014.10,     14762.05,     14780.00,-157.45
,Nifty200 Alpha 30,     24504.40,     24609.30,     24625.65,     24025.05,     24065.65,-438.75
,NiftyM150Momntm50,     60080.85,     60386.00,     60405.60,     58894.05,     58995.70,-1085.15
,Nifty50 USD,      9564.45,      9564.45,      9661.50,      9432.20,      9446.40,-118.05
,Nifty IT,     38301.75,     38513.70,     38576.65,     38149.30,     38238.50,-63.25
,Nifty Next 50,     67592.80,     67829.20,     67834.25,     66109.75,     66260.55,-1332.25
,Nifty Bank,     59200.10,     59305.15,     59400.15,     58346.25,     58473.10,-727.00
,NIFTY MIDCAP 100,     58191.30,     58410.35,     58416.20,     57048.90,     57145.65,-1045.65
,Nifty 500,     23008.75,     23072.30,     23073.35,     22679.70,     22706.20,-302.55
,Nifty 100,     25860.25,     25921.80,     25922.90,     25541.65,     25570.50,-289.75
,Nifty Midcap 50,     16672.00,     16740.90,     16742.40,     16320.50,     16348.15,-323.85
,Nifty Realty,       782.50,       785.85,       785.95,       754.55,       756.35,-26.15
,Nifty Infra,      9079.65,      9097.15,      9097.15,      8914.70,      8926.05,-153.60
,Nifty Energy,     33747.00,     33867.30,     33867.30,     33055.30,     33098.30,-648.70
,Nifty FMCG,     51978.40,     52135.60,     52217.50,     51594.10,     51662.05,-316.35
,Nifty MNC,     30280.15,     30410.20,     30415.25,     29993.00,     30018.40,-261.75
,Nifty Pharma,     21928.00,     22007.05,     22033.50,     21676.40,     21722.25,-205.75
,Nifty PSE,      9765.20,      9802.30,      9802.30,      9595.90,      9614.40,-150.80
