,13-Feb-2026
The Nifty witnessed an intraday movement of about 186.05 points.The closing index was 1.3 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 123599.44
, Traded Quantity (in Lakhs), 45725.04
, Number of Trades, 36537677
, Total Market Capitalisation (Rs. Crores), 46364937.40

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     25807.20,     25571.15,     25630.35,     25444.30,     25471.10,-336.10
,NIFTY50 EQL Wgt,     33616.80,     33339.40,     33372.40,     33117.25,     33166.00,-450.80
,NIFTY100 EQL Wgt,     34204.80,     33933.55,     33941.65,     33606.70,     33705.55,-499.25
,NIFTY100 LowVol30,     20758.70,     20610.80,     20633.20,     20498.95,     20523.55,-235.15
,NIFTY Alpha 50,     51351.65,     50976.55,     50979.80,     50184.10,     50272.85,-1078.80
,NIFTY MIDCAP 150,     22252.40,     22079.55,     22080.40,     21778.00,     21884.35,-368.05
,NIFTY SMLCAP 50,      8478.10,      8404.50,      8406.95,      8281.40,      8318.55,-159.55
,NIFTY SMLCAP 250,     16250.15,     16124.30,     16128.45,     15912.05,     15988.30,-261.85
,NIFTY MIDSML 400,     20022.35,     19867.00,     19867.10,     19602.60,     19694.05,-328.30
,NIFTY200 QUALTY30,     20612.20,     20316.60,     20427.80,     20191.15,     20266.75,-345.45
,Nifty FinSrv25 50,     30967.60,     30807.25,     30881.10,     30560.00,     30601.25,-366.35
,NIFTY AlphaLowVol,     27355.90,     27306.70,     27345.55,     27145.90,     27181.30,-174.60
,Nifty200Momentm30,     31892.30,     31677.20,     31679.75,     31343.55,     31397.65,-494.65
,Nifty100ESGSecLdr,      4281.20,      4235.65,      4242.80,      4213.10,      4217.70,-63.50
,NIFTY100 ESG,      5158.95,      5103.55,      5114.00,      5072.40,      5090.35,-68.60
,NIFTY M150 QLTY50,     23702.85,     23450.05,     23461.85,     23134.60,     23249.30,-453.55
,NIFTY INDIA MFG,     15781.80,     15673.90,     15695.95,     15542.85,     15570.85,-210.95
,Nifty200 Alpha 30,     25841.75,     25676.75,     25677.00,     25330.35,     25371.15,-470.60
,NiftyM150Momntm50,     63276.75,     62757.95,     62758.20,     61734.50,     61829.15,-1447.60
,Nifty50 USD,      9867.90,      9867.90,      9867.90,      9574.95,      9736.20,-131.70
,Nifty IT,     33160.20,     31487.40,     32932.75,     31422.60,     32681.50,-478.70
,Nifty Next 50,     69916.10,     69374.65,     69381.80,     68485.50,     68826.75,-1089.35
,Nifty Bank,     60739.75,     60504.40,     60621.90,     60073.55,     60186.65,-553.10
,NIFTY MIDCAP 100,     60470.85,     59978.45,     59981.00,     59194.25,     59438.00,-1032.85
,Nifty 500,     23651.55,     23448.70,     23464.05,     23285.00,     23313.15,-338.40
,Nifty 100,     26448.05,     26212.25,     26252.80,     26063.75,     26092.40,-355.65
,Nifty Midcap 50,     17251.50,     17095.90,     17104.35,     16880.45,     16960.45,-291.05
,Nifty Realty,       842.35,       831.30,       831.30,       811.20,       823.60,-18.75
,Nifty Infra,      9663.30,      9631.45,      9646.40,      9528.00,      9542.50,-120.80
,Nifty Energy,     36452.65,     36154.00,     36168.55,     35678.10,     35709.90,-742.75
,Nifty FMCG,     51885.75,     51690.05,     51690.05,     50811.85,     50902.15,-983.60
,Nifty MNC,     31422.35,     31211.40,     31211.40,     30751.80,     30800.10,-622.25
,Nifty Pharma,     22386.30,     22325.90,     22408.50,     22134.00,     22194.90,-191.40
,Nifty PSE,     10348.50,     10286.40,     10289.65,     10159.10,     10174.80,-173.70
,Nifty PSU Bank,      9229.45,      9180.45,      9198.50,      9122.55,      9166.50,-62.95
,Nifty Serv Sector,     33409.40,     33028.95,     33165.00,     32998.70,     33037.00,-372.40
,Nifty Auto,     28504.05,     28305.55,     28503.15,     28161.25,     28234.30,-269.75
,Nifty Metal,     12279.20,     12073.90,     12086.50,     11841.25,     11872.80,-406.40
,Nifty Media,      1474.05,      1461.75,      1486.45,      1446.65,      1462.80,-11.25
,NIFTY SMLCAP 100,     17344.10,     17193.65,     17196.35,     16951.90,     17032.90,-311.20
,Nifty 200,     14425.50,     14298.95,     14313.25,     14205.75,     14221.90,-203.60
,Nifty Div Opps 50,      6359.80,      6243.80,      6289.30,      6211.00,      6257.10,-102.70
,Nifty Commodities,     10019.90,      9920.75,      9924.20,      9780.85,      9795.95,-223.95
,Nifty Consumption,     11976.50,     11918.55,     11932.70,     11759.70,     11781.65,-194.85
,Nifty Fin Service,     28385.20,     28261.75,     28335.85,     28085.50,     28126.35,-258.85
,Nifty50 Div Point,       274.43,       274.43,       274.43,       274.43,       274.43,0.00
,Nifty100 Liq 15,      7752.25,      7732.50,      7752.25,      7662.25,      7674.90,-77.35
,Nifty CPSE,      6959.30,      6903.30,      6911.55,      6795.20,      6806.45,-152.85
,Nifty GrowSect 15,     11788.90,     11521.55,     11697.10,     11504.65,     11604.70,-184.20
,Nifty50 PR 2x Lev,     14228.05,     13965.90,     14025.35,     13827.45,     13855.55,-372.50
,Nifty50 PR 1x Inv,       203.30,       205.20,       206.20,       204.80,       206.00,2.70
,Nifty50 TR 2x Lev,     21332.05,     20939.00,     21028.15,     20731.45,     20773.55,-558.50
,Nifty50 TR 1x Inv,       166.20,       167.75,       168.55,       167.40,       168.40,2.20
,Nifty50 Value 20,     13131.00,     12901.90,     13016.50,     12872.10,     12975.90,-155.10
,Nifty Mid Liq 15,     15929.50,     15743.65,     15774.40,     15563.85,     15667.20,-262.30
,Nifty Pvt Bank,     28987.05,     28905.45,     29008.45,     28630.70,     28691.80,-295.25
,NIFTY100 Qualty30,      5682.75,      5603.60,      5646.65,      5574.85,      5599.75,-83.00
,Nifty GS 8 13Yr,      2977.10,      2977.63,      2982.24,      2977.63,      2979.99,2.89
,Nifty GS 10Yr,      2617.51,      2617.98,      2626.23,      2617.98,      2620.52,3.01
