,26-Feb-2026
The Nifty witnessed an intraday movement of about 172.0 points.The closing index was 0.06 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 108665.76
, Traded Quantity (in Lakhs), 45182.34
, Number of Trades, 30748283
, Total Market Capitalisation (Rs. Crores), 46681822.79

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     25482.50,     25556.30,     25572.95,     25400.95,     25496.55,14.05
,NIFTY50 EQL Wgt,     33467.45,     33554.10,     33601.50,     33364.30,     33521.15,53.70
,NIFTY100 EQL Wgt,     34238.20,     34311.60,     34355.45,     34126.60,     34299.00,60.80
,NIFTY100 LowVol30,     20749.50,     20805.60,     20837.50,     20687.05,     20777.75,28.25
,NIFTY Alpha 50,     51265.70,     51350.25,     51524.90,     51062.45,     51462.65,196.95
,NIFTY MIDCAP 150,     21959.05,     22005.25,     22112.55,     21948.00,     22087.15,128.10
,NIFTY SMLCAP 50,      8417.35,      8428.75,      8455.80,      8361.60,      8409.85,-7.50
,NIFTY SMLCAP 250,     16035.70,     16059.50,     16121.90,     15983.10,     16047.45,11.75
,NIFTY MIDSML 400,     19758.30,     19795.75,     19885.45,     19730.40,     19839.65,81.35
,NIFTY200 QUALTY30,     20325.45,     20392.95,     20435.80,     20265.65,     20345.30,19.85
,Nifty FinSrv25 50,     30749.05,     30823.15,     30840.60,     30590.30,     30734.35,-14.70
,NIFTY AlphaLowVol,     27631.90,     27683.95,     27728.20,     27525.40,     27664.80,32.90
,Nifty200Momentm30,     31778.75,     31857.60,     31955.20,     31666.35,     31922.85,144.10
,Nifty100ESGSecLdr,      4204.00,      4216.40,      4218.65,      4188.95,      4205.30,1.30
,NIFTY100 ESG,      5092.75,      5107.50,      5113.30,      5073.50,      5096.30,3.55
,NIFTY M150 QLTY50,     23518.25,     23579.25,     23654.55,     23466.60,     23574.00,55.75
,NIFTY INDIA MFG,     15860.35,     15898.10,     15992.35,     15856.55,     15984.65,124.30
,Nifty200 Alpha 30,     25794.95,     25849.70,     25955.30,     25715.80,     25923.75,128.80
,NiftyM150Momntm50,     62351.20,     62483.10,     62800.95,     62253.85,     62654.05,302.85
,Nifty50 USD,      9707.75,      9707.75,      9789.10,      9682.50,      9718.00,10.25
,Nifty IT,     30526.35,     30797.05,     31112.20,     30459.80,     30554.20,27.85
,Nifty Next 50,     70399.25,     70534.60,     70697.25,     70118.55,     70628.50,229.25
,Nifty Bank,     61043.35,     61193.90,     61284.75,     60813.30,     61187.70,144.35
,NIFTY MIDCAP 100,     59406.10,     59542.55,     59879.55,     59404.75,     59798.15,392.05
,Nifty 500,     23403.80,     23462.05,     23502.95,     23340.75,     23448.50,44.70
,Nifty 100,     26200.50,     26272.10,     26290.35,     26113.25,     26226.85,26.35
,Nifty Midcap 50,     16828.70,     16865.45,     16965.40,     16839.10,     16945.05,116.35
,Nifty Realty,       796.85,       799.00,       803.10,       791.85,       798.65,1.80
,Nifty Infra,      9615.45,      9626.10,      9658.80,      9587.05,      9646.25,30.80
,Nifty Energy,     37118.60,     37154.30,     37265.55,     36969.15,     37181.80,63.20
,Nifty FMCG,     52105.30,     52156.55,     52197.55,     51741.70,     52023.00,-82.30
,Nifty MNC,     32027.70,     32106.80,     32131.15,     31923.85,     32116.30,88.60
,Nifty Pharma,     23051.85,     23106.95,     23436.95,     23047.85,     23301.65,249.80
,Nifty PSE,     10501.65,     10514.30,     10543.60,     10445.50,     10529.05,27.40
,Nifty PSU Bank,      9787.20,      9804.50,      9918.65,      9735.40,      9879.85,92.65
,Nifty Serv Sector,     32740.55,     32857.75,     32871.30,     32597.80,     32721.85,-18.70
,Nifty Auto,     28466.50,     28556.85,     28719.60,     28459.45,     28693.40,226.90
,Nifty Metal,     12399.40,     12453.45,     12457.00,     12348.90,     12448.00,48.60
,Nifty Media,      1417.40,      1421.55,      1423.10,      1401.00,      1407.75,-9.65
,NIFTY SMLCAP 100,     17118.70,     17143.60,     17206.00,     17036.30,     17117.65,-1.05
,Nifty 200,     14268.65,     14306.50,     14328.60,     14230.15,     14297.55,28.90
,Nifty Div Opps 50,      6342.15,      6362.35,      6382.75,      6315.60,      6361.20,19.05
,Nifty Commodities,     10035.20,     10057.40,     10076.80,      9994.30,     10067.25,32.05
,Nifty Consumption,     11703.70,     11728.65,     11736.60,     11654.10,     11710.50,6.80
,Nifty Fin Service,     28339.65,     28404.40,     28408.15,     28173.95,     28309.85,-29.80
,Nifty50 Div Point,       277.39,       277.39,       277.39,       277.39,       277.39,0.00
,Nifty100 Liq 15,      7597.30,      7611.40,      7633.55,      7575.00,      7624.70,27.40
,Nifty CPSE,      7126.25,      7129.90,      7143.45,      7075.90,      7127.95,1.70
,Nifty GrowSect 15,     11544.50,     11602.35,     11647.00,     11540.30,     11596.20,51.70
,Nifty50 PR 2x Lev,     13839.05,     13917.35,     13934.60,     13749.30,     13852.40,13.35
,Nifty50 PR 1x Inv,       206.15,       205.55,       206.80,       205.45,       206.05,-0.10
,Nifty50 TR 2x Lev,     20753.60,     20871.00,     20896.90,     20619.00,     20773.65,20.05
,Nifty50 TR 1x Inv,       168.50,       168.05,       169.05,       167.95,       168.45,-0.05
,Nifty50 Value 20,     12998.45,     13047.25,     13056.45,     12954.75,     13015.30,16.85
,Nifty Mid Liq 15,     15142.40,     15183.85,     15316.20,     15157.70,     15263.70,121.30
,Nifty Pvt Bank,     28980.95,     29059.60,     29065.45,     28870.00,     28999.80,18.85
,NIFTY100 Qualty30,      5614.85,      5633.00,      5646.60,      5604.85,      5630.65,15.80
