,16-Mar-2026
The Nifty witnessed an intraday movement of about 546.75 points.The closing index was 1.11 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 124924.28
, Traded Quantity (in Lakhs), 54879.88
, Number of Trades, 41358036
, Total Market Capitalisation (Rs. Crores), 42881607.96

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23151.10,     23116.10,     23502.00,     22955.25,     23408.80,257.70
,NIFTY50 EQL Wgt,     30489.70,     30423.45,     30822.75,     30182.15,     30694.90,205.20
,NIFTY100 EQL Wgt,     31393.00,     31347.55,     31570.80,     30930.85,     31419.80,26.80
,NIFTY100 LowVol30,     18956.25,     18948.65,     19167.45,     18795.50,     19083.50,127.25
,NIFTY Alpha 50,     46775.25,     46625.85,     47111.75,     46004.10,     46892.45,117.20
,NIFTY MIDCAP 150,     20233.00,     20188.25,     20295.55,     19824.95,     20158.45,-74.55
,NIFTY SMLCAP 50,      7792.00,      7771.05,      7814.00,      7626.15,      7761.75,-30.25
,NIFTY SMLCAP 250,     14857.50,     14827.65,     14867.45,     14538.80,     14804.70,-52.80
,NIFTY MIDSML 400,     18239.35,     18200.25,     18273.05,     17864.00,     18172.95,-66.40
,NIFTY200 QUALTY30,     18985.85,     18939.00,     19040.90,     18692.55,     18954.90,-30.95
,Nifty FinSrv25 50,     27553.30,     27521.20,     28063.90,     27322.15,     27927.35,374.05
,NIFTY AlphaLowVol,     24917.50,     24889.90,     25222.30,     24713.30,     25115.30,197.80
,Nifty200Momentm30,     28396.20,     28292.75,     28750.90,     28102.00,     28613.55,217.35
,Nifty100ESGSecLdr,      3848.30,      3841.35,      3897.25,      3809.15,      3882.30,34.00
,NIFTY100 ESG,      4623.50,      4614.65,      4674.20,      4566.00,      4652.65,29.15
,NIFTY M150 QLTY50,     21621.60,     21583.45,     21620.75,     21173.40,     21437.70,-183.90
,NIFTY INDIA MFG,     14617.70,     14564.30,     14678.40,     14369.75,     14593.85,-23.85
,Nifty200 Alpha 30,     23145.20,     23053.45,     23404.50,     22807.15,     23280.15,134.95
,NiftyM150Momntm50,     56717.95,     56543.50,     57102.15,     55710.40,     56687.25,-30.70
,Nifty50 USD,      8676.50,      8676.50,      8814.20,      8602.55,      8756.75,80.25
,Nifty IT,     29071.25,     28934.60,     29202.70,     28586.95,     29042.55,-28.70
,Nifty Next 50,     64691.45,     64621.55,     64969.50,     63525.50,     64462.30,-229.15
,Nifty Bank,     53757.85,     53721.50,     54664.15,     53258.15,     54413.40,655.55
,NIFTY MIDCAP 100,     54761.10,     54652.55,     55013.30,     53712.55,     54614.95,-146.15
,Nifty 500,     21391.20,     21355.95,     21593.25,     21110.00,     21498.80,107.60
,Nifty 100,     23849.25,     23814.95,     24155.85,     23608.95,     24055.40,206.15
,Nifty Midcap 50,     15523.70,     15487.20,     15610.90,     15259.80,     15497.00,-26.70
,Nifty Realty,       709.80,       710.40,       711.25,       685.00,       698.65,-11.15
,Nifty Infra,      8768.40,      8758.30,      8812.40,      8653.60,      8775.65,7.25
,Nifty Energy,     36071.85,     36101.90,     36317.25,     35258.50,     35682.05,-389.80
,Nifty FMCG,     47924.15,     48005.85,     48622.35,     47826.35,     48468.85,544.70
,Nifty MNC,     29283.15,     29250.50,     29422.75,     28892.85,     29245.15,-38.00
,Nifty Pharma,     22832.20,     22800.15,     22965.25,     22369.80,     22547.20,-285.00
,Nifty PSE,     10071.10,     10025.60,     10100.65,      9814.50,      9922.55,-148.55
,Nifty PSU Bank,      8516.55,      8501.55,      8622.10,      8364.70,      8568.40,51.85
,Nifty Serv Sector,     29713.15,     29665.00,     30178.40,     29424.70,     30037.50,324.35
,Nifty Auto,     24195.10,     24085.95,     24718.75,     23863.40,     24599.10,404.00
,Nifty Metal,     11292.50,     11262.25,     11415.80,     11202.00,     11318.00,25.50
,Nifty Media,      1301.10,      1300.20,      1308.35,      1270.65,      1293.50,-7.60
,NIFTY SMLCAP 100,     15895.25,     15858.25,     15892.20,     15526.75,     15810.35,-84.90
,Nifty 200,     13018.25,     12998.25,     13162.25,     12865.50,     13103.60,85.35
,Nifty Div Opps 50,      5890.70,      5876.80,      5917.65,      5795.35,      5885.80,-4.90
,Nifty Commodities,      9341.05,      9329.90,      9407.95,      9267.00,      9370.10,29.05
,Nifty Consumption,     10575.00,     10555.80,     10736.90,     10469.30,     10694.40,119.40
,Nifty Fin Service,     25138.65,     25113.35,     25645.70,     24946.05,     25515.25,376.60
,Nifty50 Div Point,       279.19,       279.19,       279.19,       279.19,       279.19,0.00
,Nifty100 Liq 15,      6844.50,      6822.00,      6932.45,      6762.30,      6901.85,57.35
,Nifty CPSE,      7082.40,      7060.00,      7114.90,      6908.90,      6989.55,-92.85
,Nifty GrowSect 15,     10600.25,     10568.85,     10715.50,     10461.35,     10665.55,65.30
,Nifty50 PR 2x Lev,     11373.70,     11334.55,     11713.70,     11176.80,     11622.15,248.45
,Nifty50 PR 1x Inv,       226.90,       227.35,       228.95,       223.60,       224.50,-2.40
,Nifty50 TR 2x Lev,     17059.05,     17000.25,     17568.95,     16763.70,     17431.65,372.60
,Nifty50 TR 1x Inv,       185.50,       185.85,       187.10,       182.75,       183.50,-2.00
,Nifty50 Value 20,     11914.95,     11902.35,     12061.05,     11770.55,     12003.90,88.95
,Nifty Mid Liq 15,     14217.85,     14177.90,     14354.25,     13990.25,     14261.15,43.30
,Nifty Pvt Bank,     25510.00,     25504.80,     25950.20,     25284.70,     25825.15,315.15
,NIFTY100 Qualty30,      5264.55,      5249.80,      5289.85,      5188.80,      5265.80,1.25
,Nifty GS 8 13Yr,      3002.67,      3003.21,      3003.22,      2994.62,      2997.12,-5.55
,Nifty GS 10Yr,      2635.91,      2636.37,      2636.39,      2628.15,      2631.01,-4.90
,Nifty GS 10Yr Cln,       887.62,       887.62,       887.63,       884.77,       885.76,-1.86
,Nifty GS 4 8Yr,      3266.45,      3267.04,      3267.04,      3257.60,      3259.32,-7.13
,Nifty GS 11 15Yr,      3277.16,      3277.78,      3277.78,      3267.43,      3269.72,-7.44
,Nifty GS 15YrPlus,      3461.86,      3462.56,      3467.62,      3448.16,      3450.44,-11.42
,Nifty GS Compsite,      3075.63,      3076.19,      3076.82,      3066.85,      3069.03,-6.60
,NIFTY HEALTHCARE,     14602.95,     14590.60,     14681.45,     14304.15,     14402.75,-200.20
,NIFTY CONSR DURBL,     35011.45,     34876.85,     35207.25,     34229.30,     34936.85,-74.60
,NIFTY OIL AND GAS,     11286.80,     11248.50,     11304.75,     10985.40,     11108.75,-178.05
,NIFTY500 MULTICAP,     14778.65,     14752.40,     14881.20,     14550.75,     14815.35,36.70
,NIFTY LARGEMID250,     15185.15,     15157.35,     15294.80,     14955.10,     15221.85,36.70
,NIFTY MID SELECT,     12618.50,     12572.35,     12701.35,     12402.10,     12615.25,-3.25
,NIFTY TOTAL MKT,     11991.65,     11972.00,     12100.60,     11830.65,     12047.20,55.55
,NIFTY MICROCAP250,     19719.60,     19691.85,     19746.05,     19304.65,     19600.20,-119.40
,NIFTY IND DIGITAL,      7338.05,      7309.65,      7404.90,      7233.65,      7366.20,28.15
,Nifty Tata 25 Cap,     13702.95,     13681.15,     13860.80,     13498.75,     13792.30,89.35
,Nifty MidSml Hlth,     42532.60,     42495.15,     42657.25,     41558.45,     41929.10,-603.50
,Nifty Multi Mfg,     14770.85,     14720.40,     14849.10,     14538.75,     14780.70,9.85
,Nifty Multi Infra,     13111.70,     13098.15,     13160.95,     12896.10,     13089.00,-22.70
,BHARATBOND-APR30,      1571.31,      1571.62,      1571.62,      1571.61,      1571.61,0.30
,BHARATBOND-APR31,      1429.04,      1429.31,      1429.38,      1429.31,      1429.38,0.34
,BHARATBOND-APR32,      1298.10,      1298.35,      1298.42,      1298.35,      1298.42,0.32
,BHARATBOND-APR33,      1260.80,      1261.05,      1261.05,      1261.04,      1261.04,0.24
,Nifty Ind Defence,      7926.50,      7894.50,      7951.15,      7731.45,      7864.80,-61.70
,Nifty Ind Tourism,      6957.20,      6946.60,      7046.85,      6858.25,      7008.80,51.60
,Nifty Capital Mkt,      4439.20,      4431.85,      4506.95,      4375.80,      4480.65,41.45
,Nifty500Momentm50,     47768.25,     47544.05,     48294.15,     47166.30,     48073.60,305.35
,NiftyMS400 MQ 100,     44189.65,     44080.00,     44351.80,     43324.85,     44099.60,-90.05
,NiftySml250MQ 100,     39129.65,     39055.75,     39196.35,     38325.40,     39016.80,-112.85
,Nifty Top 10 EW,      8444.05,      8444.00,      8567.75,      8364.25,      8529.95,85.90
,Nifty AQL 30,     21129.40,     21094.55,     21252.45,     20854.35,     21162.35,32.95
,Nifty AQLV 30,     19304.45,     19260.65,     19410.70,     19055.85,     19331.60,27.15
,Nifty EV,      2726.15,      2717.10,      2749.40,      2670.00,      2733.85,7.70
,Nifty HighBeta 50,      3528.60,      3523.70,      3548.80,      3456.15,      3519.80,-8.80
,Nifty New Consump,     10045.20,     10014.05,     10161.15,      9868.50,     10115.00,69.80
,Nifty Corp MAATR,     34189.95,     34146.65,     34832.70,     34041.95,     34713.75,523.80
,Nifty Low Vol 50,     23358.90,     23339.90,     23571.60,     23123.80,     23475.45,116.55
,Nifty Mobility,     20046.80,     19962.10,     20322.60,     19753.40,     20232.50,185.70
,Nifty Qlty LV 30,     15737.55,     15728.10,     15878.25,     15578.00,     15812.05,74.50
,Nifty Sml250 Q50,     22669.15,     22649.75,     22701.35,     22229.05,     22590.20,-78.95
,Nifty Top 15 EW,      9439.55,      9431.65,      9610.60,      9361.20,      9567.95,128.40
,Nifty100 Alpha 30,     16463.40,     16395.25,     16648.20,     16287.45,     16582.60,119.20
,Nifty100 Enh ESG,      4656.40,      4647.45,      4707.75,      4598.40,      4686.10,29.70
,Nifty200 Value 30,     14756.10,     14700.70,     14789.00,     14491.90,     14678.55,-77.55
,Nifty500 EW,     12803.90,     12785.30,     12813.70,     12540.45,     12756.00,-47.90
,Nifty Multi MQ 50,     37970.40,     37813.50,     38223.40,     37293.30,     38043.40,73.00
,Nifty500 Value 50,     15584.45,     15541.30,     15628.85,     15284.65,     15476.25,-108.20
,Nifty Top 20 EW,      8385.50,      8372.00,      8520.30,      8299.30,      8479.15,93.65
,Nifty CoreHousing,     13498.25,     13483.70,     13672.80,     13375.95,     13611.20,112.95
,Nifty FinSerExBnk,     28902.70,     28797.95,     29340.40,     28560.60,     29184.25,281.55
,Nifty Housing,     10870.15,     10877.00,     11025.75,     10781.15,     10974.40,104.25
,Nifty IPO,      1832.65,      1827.00,      1833.55,      1793.05,      1823.95,-8.70
,Nifty MS Fin Serv,     19014.00,     18947.40,     19242.95,     18736.90,     19142.45,128.45
,Nifty MS Ind Cons,     16722.25,     16694.65,     16775.60,     16378.95,     16675.35,-46.90
,Nifty MS IT Telcm,      7908.05,      7902.15,      7965.80,      7763.70,      7866.90,-41.15
,Nifty NonCyc Cons,     13783.70,     13759.60,     13956.95,     13642.55,     13898.20,114.50
,Nifty Rural,     14576.65,     14552.85,     14775.20,     14434.95,     14712.45,135.80
,Nifty Shariah 25,      7386.90,      7375.20,      7437.75,      7309.15,      7403.70,16.80
,Nifty Trans Logis,     22000.50,     21901.80,     22416.70,     21706.80,     22312.55,312.05
,Nifty50 Shariah,      4179.40,      4170.80,      4210.60,      4137.95,      4194.30,14.90
,Nifty500 LMS Eql,     16232.20,     16201.50,     16313.00,     15953.00,     16239.40,7.20
,Nifty500 Shariah,      6400.05,      6388.60,      6419.80,      6288.15,      6377.95,-22.10
,Nifty500 Qlty50,     17524.95,     17501.85,     17552.60,     17162.95,     17435.90,-89.05
,Nifty500 LowVol50,     21263.05,     21219.45,     21338.45,     20928.50,     21244.20,-18.85
,Nifty500 MQVLv50,     29855.45,     29767.40,     29869.50,     29215.60,     29660.70,-194.75
,Nifty500 Flexicap,      9166.30,      9129.15,      9210.70,      9034.10,      9168.00,1.70
,Nifty TMMQ 50,     39293.50,     39140.85,     39557.25,     38547.85,     39356.15,62.65
,Nifty FPI 150,      1452.30,      1449.30,      1465.80,      1434.75,      1459.50,7.20
,Nifty SME Emerge,     11991.70,     11987.55,     11997.85,     11762.85,     11850.90,-140.80
,Nifty Internet,      1084.70,      1080.50,      1103.25,      1068.10,      1097.95,13.25
,Nifty Chemicals,     26319.10,     26236.90,     26414.65,     25838.90,     26172.75,-146.35
,Nifty Waves,      1748.50,      1744.75,      1752.40,      1708.70,      1723.20,-25.30
,Nifty InfraLog,     10682.40,     10677.70,     10744.85,     10505.95,     10668.55,-13.85
,Nifty500 Health,     18350.50,     18332.55,     18431.65,     17976.45,     18129.05,-221.45
,Nifty RailwaysPSU,      2959.90,      2952.75,      2961.70,      2884.35,      2927.95,-31.95
,NiftyConglomerate,     13135.50,     13120.30,     13368.35,     13043.60,     13315.60,180.10
,India VIX,22.6450,22.6450,22.8750,19.8200,21.6025,-1.0425

,ADVANCES,1190
,DECLINES,2269
,UNCHANGED,65

,Total securities that have hit their price bands today,239

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR,VALUE(Rs Crs)
,HDFCBANK,EQ,       817.00,       840.60,2.89,4341.59
,RELIANCE,EQ,      1380.70,      1395.10,1.04,3161.94
,LT,EQ,      3439.00,      3469.40,0.88,2914.70
,MRPL,EQ,       178.14,       206.77,16.07,2888.95
,ICICIBANK,EQ,      1254.80,      1272.90,1.44,2867.60
,BHARTIARTL,EQ,      1803.40,      1788.80,-0.81,2549.04
,ITI,EQ,       242.30,       277.15,14.38,2359.91
,MARUTI,EQ,     12591.00,     12757.00,1.32,1790.91
,SBIN,EQ,      1047.00,      1066.70,1.88,1617.59
,M&M,EQ,      2931.10,      3036.10,3.58,1604.15
,INFY,EQ,      1248.30,      1249.80,0.12,1527.57
,ADANIPOWER,EQ,       146.57,       154.06,5.11,1368.65
,SILVERBEES,EQ,       244.49,       233.48,-4.50,1319.94
,TEJASNET,EQ,       424.45,       446.85,5.28,1277.50
,BSE,EQ,      2797.00,      2862.60,2.35,1230.23
,ETERNAL,EQ,       215.68,       222.04,2.95,1160.51
,ITC,EQ,       301.45,       308.25,2.26,1144.70
,AXISBANK,EQ,      1197.30,      1214.70,1.45,1052.38
,ZYDUSWELL,EQ,       404.25,       425.70,5.31,1036.54
,SHRIRAMFIN,EQ,      1003.60,       992.00,-1.16,1035.83
,KOTAKBANK,EQ,       366.85,       369.85,0.82,1029.55
,HINDALCO,EQ,       910.05,       921.15,1.22,996.78
,ATGL,EQ,       565.90,       522.05,-7.75,985.85
,IDBI,EQ,        92.18,        76.90,-16.58,984.62
,BEL,EQ,       439.40,       429.50,-2.25,954.86

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ULTRACEMCO,EQ,     11099.00,     10616.00,4.55
,M&M,EQ,      3036.10,      2931.10,3.58
,GRASIM,EQ,      2654.40,      2568.60,3.34
,TRENT,EQ,      3596.10,      3487.80,3.11
,ETERNAL,EQ,       222.04,       215.68,2.95

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BEL,EQ,       429.50,       439.40,-2.25
,MAXHEALTH,EQ,       970.60,       990.00,-1.96
