,27-Mar-2026
The Nifty witnessed an intraday movement of about 381.55 points.The closing index was 2.09 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 157107.82
, Traded Quantity (in Lakhs), 66583.13
, Number of Trades, 48815341
, Total Market Capitalisation (Rs. Crores), 42035071.48

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23306.45,     23173.55,     23186.10,     22804.55,     22819.60,-486.85
,NIFTY50 EQL Wgt,     30660.50,     30483.20,     30499.25,     30133.60,     30159.40,-501.10
,NIFTY100 EQL Wgt,     31189.30,     31027.80,     31033.30,     30511.85,     30534.95,-654.35
,NIFTY100 LowVol30,     19017.90,     18924.65,     18937.00,     18681.05,     18698.00,-319.90
,NIFTY Alpha 50,     47306.50,     46931.70,     46948.30,     45796.75,     45890.35,-1416.15
,NIFTY MIDCAP 150,     20397.75,     20279.35,     20285.90,     19913.60,     19952.75,-445.00
,NIFTY SMLCAP 50,      7805.45,      7752.45,      7757.70,      7640.45,      7657.80,-147.65
,NIFTY SMLCAP 250,     14937.20,     14847.95,     14851.40,     14611.10,     14655.35,-281.85
,NIFTY MIDSML 400,     18370.75,     18263.05,     18266.80,     17962.95,     17988.25,-382.50
,NIFTY200 QUALTY30,     18896.30,     18821.95,     18833.75,     18557.85,     18574.95,-321.35
,Nifty FinSrv25 50,     27345.70,     27145.85,     27176.00,     26570.75,     26609.70,-736.00
,NIFTY AlphaLowVol,     25078.70,     24907.10,     24923.90,     24566.50,     24592.25,-486.45
,Nifty200Momentm30,     28747.60,     28517.40,     28521.05,     27908.15,     27944.50,-803.10
,Nifty100ESGSecLdr,      3867.40,      3848.20,      3849.05,      3784.05,      3786.50,-80.90
,NIFTY100 ESG,      4645.30,      4620.20,      4621.20,      4549.40,      4553.25,-92.05
,NIFTY M150 QLTY50,     21640.15,     21529.90,     21560.00,     21139.80,     21190.95,-449.20
,NIFTY INDIA MFG,     14621.85,     14525.00,     14538.05,     14281.15,     14293.10,-328.75
,Nifty200 Alpha 30,     23469.15,     23281.85,     23287.10,     22687.90,     22731.80,-737.35
,NiftyM150Momntm50,     57520.40,     57086.80,     57117.50,     56020.75,     56140.55,-1379.85
,Nifty50 USD,      8593.65,      8593.65,      8784.00,      8338.55,      8353.25,-240.40
,Nifty IT,     29671.30,     29721.00,     30029.55,     29461.20,     29541.65,-129.65
,Nifty Next 50,     63620.60,     63324.10,     63335.75,     61969.95,     62043.05,-1577.55
,Nifty Bank,     53708.10,     53244.25,     53292.50,     52211.20,     52274.60,-1433.50
,NIFTY MIDCAP 100,     55331.05,     54997.35,     55014.40,     53991.55,     54097.80,-1233.25
,Nifty 500,     21478.20,     21357.35,     21364.35,     21007.15,     21020.15,-458.05
,Nifty 100,     23915.15,     23782.95,     23792.85,     23385.25,     23400.05,-515.10
,Nifty Midcap 50,     15731.45,     15628.90,     15638.90,     15367.45,     15396.10,-335.35
,Nifty Realty,       692.10,       684.20,       686.95,       667.65,       670.15,-21.95
,Nifty Infra,      8887.55,      8863.85,      8865.05,      8707.65,      8720.40,-167.15
,Nifty Energy,     35556.45,     35498.50,     35508.95,     35134.70,     35214.80,-341.65
,Nifty FMCG,     47283.35,     47080.55,     47112.95,     46346.80,     46427.20,-856.15
,Nifty MNC,     29086.05,     28920.80,     28936.45,     28284.50,     28335.60,-750.45
,Nifty Pharma,     22679.75,     22612.70,     22758.30,     22484.05,     22565.60,-114.15
,Nifty PSE,      9740.40,      9757.85,      9771.00,      9632.60,      9676.40,-64.00
,Nifty PSU Bank,      8581.05,      8499.95,      8508.05,      8233.10,      8249.45,-331.60
,Nifty Serv Sector,     29760.70,     29600.95,     29622.95,     29127.80,     29158.00,-602.70
,Nifty Auto,     25058.60,     24834.25,     24847.70,     24301.40,     24351.95,-706.65
,Nifty Metal,     11342.20,     11224.50,     11292.85,     11148.30,     11161.65,-180.55
,Nifty Media,      1311.15,      1302.10,      1304.00,      1265.70,      1294.20,-16.95
,NIFTY SMLCAP 100,     15896.55,     15796.40,     15801.50,     15574.90,     15620.00,-276.55
,Nifty 200,     13072.60,     12999.10,     13003.90,     12782.15,     12789.20,-283.40
,Nifty Div Opps 50,      5843.35,      5831.00,      5834.90,      5745.55,      5752.00,-91.35
,Nifty Commodities,      9357.40,      9327.25,      9329.55,      9214.70,      9223.85,-133.55
,Nifty Consumption,     10765.40,     10692.40,     10695.65,     10547.40,     10559.05,-206.35
,Nifty Fin Service,     25056.35,     24856.15,     24888.35,     24335.90,     24373.20,-683.15
,Nifty50 Div Point,       279.19,       279.19,       279.19,       279.19,       279.19,0.00
,Nifty100 Liq 15,      6955.25,      6904.45,      6909.30,      6751.50,      6762.20,-193.05
,Nifty CPSE,      6925.50,      6929.30,      6983.65,      6877.40,      6929.15,3.65
,Nifty GrowSect 15,     10711.60,     10672.90,     10684.85,     10559.50,     10572.95,-138.65
,Nifty50 PR 2x Lev,     11475.80,     11341.60,     11341.60,     10978.45,     10993.00,-482.80
,Nifty50 PR 1x Inv,       225.20,       226.55,       230.10,       226.55,       229.95,4.75
,Nifty50 TR 2x Lev,     17212.15,     17010.85,     17010.85,     16466.15,     16488.05,-724.10
,Nifty50 TR 1x Inv,       184.10,       185.20,       188.10,       185.20,       188.00,3.90
,Nifty50 Value 20,     11958.45,     11917.90,     11929.40,     11791.95,     11811.00,-147.45
,Nifty Mid Liq 15,     14492.80,     14381.05,     14391.20,     14134.85,     14156.00,-336.80
,Nifty Pvt Bank,     25498.75,     25296.15,     25325.65,     24953.65,     24986.70,-512.05
,NIFTY100 Qualty30,      5213.40,      5196.45,      5197.25,      5116.65,      5121.95,-91.45
,Nifty GS 8 13Yr,      2966.63,      2967.16,      2971.23,      2952.72,      2954.88,-11.75
,Nifty GS 10Yr,      2605.74,      2606.21,      2608.86,      2592.27,      2595.58,-10.16
,Nifty GS 10Yr Cln,       875.39,       875.39,       876.31,       870.56,       871.70,-3.69
,Nifty GS 4 8Yr,      3233.74,      3234.32,      3239.35,      3224.04,      3224.04,-9.70
,Nifty GS 11 15Yr,      3236.58,      3237.21,      3237.78,      3219.97,      3220.77,-15.81
,Nifty GS 15YrPlus,      3405.37,      3406.08,      3406.08,      3380.36,      3383.61,-21.76
,Nifty GS Compsite,      3040.35,      3040.91,      3043.82,      3027.28,      3027.71,-12.64
,NIFTY HEALTHCARE,     14520.60,     14463.90,     14545.65,     14400.75,     14433.55,-87.05
,NIFTY CONSR DURBL,     34762.10,     34486.05,     34525.15,     33837.15,     33898.30,-863.80
,NIFTY OIL AND GAS,     10956.05,     10987.60,     11025.45,     10808.00,     10830.40,-125.65
,NIFTY500 MULTICAP,     14849.20,     14764.40,     14768.50,     14525.05,     14538.15,-311.05
,NIFTY LARGEMID250,     15268.35,     15181.80,     15185.30,     14922.60,     14937.30,-331.05
,NIFTY MID SELECT,     12788.30,     12703.40,     12710.00,     12489.25,     12517.30,-271.00
,NIFTY TOTAL MKT,     12045.25,     11977.45,     11981.20,     11777.00,     11785.40,-259.85
,NIFTY MICROCAP250,     20019.45,     19905.20,     19909.95,     19391.60,     19456.95,-562.50
,NIFTY IND DIGITAL,      7553.35,      7527.75,      7551.35,      7433.40,      7449.20,-104.15
,Nifty Tata 25 Cap,     13774.45,     13697.10,     13730.35,     13531.75,     13555.70,-218.75
,Nifty MidSml Hlth,     42516.95,     42484.00,     42508.25,     42041.10,     42217.10,-299.85
,Nifty Multi Mfg,     14941.25,     14842.50,     14853.20,     14601.10,     14614.10,-327.15
